          10  0.4870002    
          20  0.5041125    
          30  0.4993169    
          40  0.4887781    
          50  0.5035220    
          60  0.4958485    
          70  0.4904847    
          80  0.4838431    
          90  0.4947241    
         100  0.4888057    
         110  0.4853360    
         120  0.5093796    
         130  0.5034866    
         140  0.5018550    
         150  0.4959171    
         160  0.4902502    
         170  0.4980614    
         180  0.5002064    
         190  0.4944048    
         200  0.4936608    
         210  0.4973299    
         220  0.4990176    
         230  0.4899691    
         240  0.4989066    
         250  0.4998601    
         260  0.5042803    
         270  0.4914530    
         280  0.4990271    
         290  0.5043594    
         300  0.5091007    
