  9.9999998E-03           1
  2.0000000E-02           1
  2.9999999E-02           1
  3.9999999E-02           1
  4.9999997E-02           1
  5.9999995E-02           1
  6.9999993E-02           1
  7.9999991E-02           1
  8.9999989E-02           1
  9.9999987E-02           1
  0.1100000               1
  0.1200000               1
  0.1300000               1
  0.1400000               1
  0.1500000               1
  0.1600000               1
  0.1700000               1
  0.1800000               2
  0.1900000               2
  0.2000000               2
  0.2100000               2
  0.2200000               2
  0.2300000               2
  0.2400000               2
  0.2500000               2
  0.2600000               2
  0.2700000               2
  0.2800000               2
  0.2900000               3
  0.3000000               3
  0.3100000               3
  0.3200000               4
  0.3300000               3
  0.3399999               4
  0.3499999               4
  0.3599999               4
  0.3699999               5
  0.3799999               5
  0.3899999               5
  0.3999999               6
  0.4099999               6
  0.4199999               7
  0.4299999               8
  0.4399998               8
  0.4499998               8
  0.4599998              10
  0.4699998              11
  0.4799998              12
  0.4899998              14
  0.4999998              18
  0.5099998              19
  0.5199998              23
  0.5299998              28
  0.5399998              33
  0.5499998              45
  0.5599998              68
  0.5699998              91
  0.5799997             160
  0.5899997             299
  0.5999997             514
  0.6099997             545
  0.6199997             501
  0.6299997             493
  0.6399997             474
  0.6499997             472
  0.6599997             455
  0.6699997             456
  0.6799996             452
  0.6899996             455
  0.6999996             445
  0.7099996             453
  0.7199996             454
  0.7299996             446
  0.7399996             448
  0.7499996             451
  0.7599996             448
  0.7699996             444
  0.7799996             447
  0.7899995             447
  0.7999995             451
  0.8099995             449
  0.8199995             446
  0.8299995             447
  0.8399995             447
  0.8499995             450
  0.8599995             454
  0.8699995             450
  0.8799995             445
  0.8899994             444
  0.8999994             452
  0.9099994             450
  0.9199994             448
  0.9299994             448
  0.9399994             451
  0.9499994             445
  0.9599994             453
  0.9699994             447
  0.9799994             446
  0.9899994             453
  0.9999993             448
